Post Title,Sq ft,Bedroom,Bathroom,Balcony,Parking,Lift,Rent Floor,Total Number of Floor,Price,Service Charge,Build Year,Area,Extra Aminities, Generator,Property Type,Interior,Building Regiration Type,Road In Front of House,Gas,Servant Room,Facing,Tiles,Drawing Room,Dinning Room
Silva House,1800,3,3,2,1,2,2,10,90000,8000,2010,"	Road: 2, BaNAni,Dhaka",NA,NA,        Residential Apartment,	Un-Furnished,Residential,24,	GOVT,YES,SOUTH,YES,YES,YES
Bti Silver Creek,2750,4,4,3,1,1,9,11,135000,0,2024,"Road: 11, BaNAni,Dhaka",24 hours security service,NA,Residential Apartment,	Un-Furnished,Residential,24,        L.P.G,YES,EAST,YES,YES,YES
BTI WEST E 7A,2000,3,3,3,1,1,6,10,120000,12000,2024,"Road: 12, BaNAni,Dhaka",NA,NA,Residential Apartment,un-Furnished,Residential,24,        L.P.G,YES,	EAST,YES,YES,YES
Sheltech Nurjahan,2009,3,3,3,1,2,3,9,110000,10000,2024,"	Road: 6, BaNAni,Dhaka",NA,NA,Residential Apartment,un-Furnished,Residential,24,        L.P.G,YES,	NORTH,YES,YES,YES
Bti Plam Grove 5A,2450,3,3,3,1,2,4,6,140000,15000,2023,"Road: 6, BaNAni,Dhaka",NA,NA,Residential Apartment,un-Furnished,Residential,24,        L.P.G,YES,	WEST,YES,YES,YES
Sel Khair Palace,2000,3,3,3,1,1,5,9,80000,8000,2015,"	Road: 06, BaNAni,Dhaka",NA,NA,Residential Apartment,un-Furnished,Residential,16,        L.P.G,YES,EAST,YES,YES,YES
Asset Blueridge 13A,4200,4,4,4,1,2,12,14,180000,20000,2023,"Road: 24, BaNAni,Dhaka",24 hours security service,NA,Residential Apartment,un-Furnished,Residential,24,        L.P.G,YES,	EAST,YES,YES,YES
Momen's Shah,1910,3,3,2,1,2,"4,6,7",11,100000,14000,2024,"Road: 11, BaNAni,Dhaka",NA,NA,Residential Apartment,un-Furnished,Residential,24,        L.P.G,YES,	NORTH,YES,YES,YES
BTI WEST E,2200,3,3,2,1,1,7,10,140000,10000,2024,"	Road: 12, BaNAni,Dhaka",NA,NA,Residential Apartment,un-Furnished,Residential,24,	L.P.G,YES,	EAST,YES,YES,YES
Basic Feous,3200,4,5,3,1,2,8,10,150000,12000,2015,"	Road: 23, BaNAni,Dhaka",24 hours security service,NA,Residential Apartment,un-Furnished,Residential,16,	L.P.G,YES,	WEST,YES,YES,YES
Asset Blueridge,3455,4,4,3,1,2,10,13,160000,20000,2023,"	Road: 23, BaNAni,Dhaka",24 hours security service,NA,Residential Apartment,un-Furnished,Residential,24,	L.P.G,YES,	WEST,YES,YES,YES
